cid,pid,name,level,category1,category2,category3,category4,full_path,leaf
50000000,0,패션의류,1,패션의류,,,,패션의류,FALSE
50000001,0,패션잡화,1,패션잡화,,,,패션잡화,FALSE
50000002,0,화장품/미용,1,화장품/미용,,,,화장품/미용,FALSE
50000003,0,디지털/가전,1,디지털/가전,,,,디지털/가전,FALSE
50000004,0,가구/인테리어,1,가구/인테리어,,,,가구/인테리어,FALSE
50000005,0,출산/육아,1,출산/육아,,,,출산/육아,FALSE
50000006,0,식품,1,식품,,,,식품,FALSE
50000007,0,스포츠/레저,1,스포츠/레저,,,,스포츠/레저,FALSE
50000008,0,생활/건강,1,생활/건강,,,,생활/건강,FALSE
50000009,0,여가/생활편의,1,여가/생활편의,,,,여가/생활편의,FALSE
50000010,0,면세점,1,면세점,,,,면세점,FALSE
50005542,0,도서,1,도서,,,,도서,FALSE
50000167,50000000,여성의류,2,패션의류,여성의류,,,패션의류 > 여성의류,FALSE
50000168,50000000,여성언더웨어/잠옷,2,패션의류,여성언더웨어/잠옷,,,패션의류 > 여성언더웨어/잠옷,FALSE
50000169,50000000,남성의류,2,패션의류,남성의류,,,패션의류 > 남성의류,FALSE
50000170,50000000,남성언더웨어/잠옷,2,패션의류,남성언더웨어/잠옷,,,패션의류 > 남성언더웨어/잠옷,FALSE
50000173,50000001,여성신발,2,패션잡화,여성신발,,,패션잡화 > 여성신발,FALSE
50000174,50000001,남성신발,2,패션잡화,남성신발,,,패션잡화 > 남성신발,FALSE
50000175,50000001,신발용품,2,패션잡화,신발용품,,,패션잡화 > 신발용품,FALSE
50000176,50000001,여성가방,2,패션잡화,여성가방,,,패션잡화 > 여성가방,FALSE
50000177,50000001,남성가방,2,패션잡화,남성가방,,,패션잡화 > 남성가방,FALSE
50000178,50000001,여행용가방/소품,2,패션잡화,여행용가방/소품,,,패션잡화 > 여행용가방/소품,FALSE
50000179,50000001,지갑,2,패션잡화,지갑,,,패션잡화 > 지갑,FALSE
50000180,50000001,벨트,2,패션잡화,벨트,,,패션잡화 > 벨트,FALSE
50000181,50000001,모자,2,패션잡화,모자,,,패션잡화 > 모자,FALSE
50000182,50000001,장갑,2,패션잡화,장갑,,,패션잡화 > 장갑,FALSE
50000166,50000001,양말,2,패션잡화,양말,,,패션잡화 > 양말,FALSE
50000183,50000001,선글라스/안경테,2,패션잡화,선글라스/안경테,,,패션잡화 > 선글라스/안경테,FALSE
50000184,50000001,헤어액세서리,2,패션잡화,헤어액세서리,,,패션잡화 > 헤어액세서리,FALSE
50000185,50000001,패션소품,2,패션잡화,패션소품,,,패션잡화 > 패션소품,FALSE
50000186,50000001,시계,2,패션잡화,시계,,,패션잡화 > 시계,FALSE
50000188,50000001,순금,2,패션잡화,순금,,,패션잡화 > 순금,FALSE
50000189,50000001,주얼리,2,패션잡화,주얼리,,,패션잡화 > 주얼리,FALSE
50000190,50000002,스킨케어,2,화장품/미용,스킨케어,,,화장품/미용 > 스킨케어,FALSE
50000194,50000002,베이스메이크업,2,화장품/미용,베이스메이크업,,,화장품/미용 > 베이스메이크업,FALSE
50000195,50000002,색조메이크업,2,화장품/미용,색조메이크업,,,화장품/미용 > 색조메이크업,FALSE
50000192,50000002,클렌징,2,화장품/미용,클렌징,,,화장품/미용 > 클렌징,FALSE
