displayItemCategoryId,metaCategoryId,treeCategoryName,feeCategoryName,feeCategoryId,categoryPath,capacityType,minPrice,warehousingConfiguredAmount,warehousingFinalAmount,fulfillmentConfiguredAmount,fulfillmentFinalAmount
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,0,650,1000,650,1550
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,10000,575,1075,275,1925
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,100000,0,1650,0,2200
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,15000,525,1125,200,2000
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,20000,450,1200,125,2075
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,30000,125,1525,125,2075
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,40000,125,1525,125,2075
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,5000,650,1000,650,1550
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,50000,0,1650,0,2200
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,60000,0,1650,0,2200
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,MINI,80000,0,1650,0,2200
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,0,575,1175,300,2100
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,10000,575,1175,300,2100
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,100000,25,1725,0,2400
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,15000,575,1175,250,2150
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,20000,550,1200,250,2150
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,30000,150,1600,75,2325
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,40000,100,1650,75,2325
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,5000,575,1175,300,2100
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,50000,25,1725,0,2400
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,60000,25,1725,0,2400
78580,79580,시계공구,시계줄/시계소품,5651,ROOT>패션의류잡화>유니섹스/남녀공용 패션>공용 시계>시계줄/시계소품/기타>시계공구,SMALL,80000,25,1725,0,2400
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,0,725,925,625,1575
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,10000,650,1000,625,1575
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,100000,0,1650,0,2200
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,15000,600,1050,625,1575
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,20000,550,1100,250,1950
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,30000,0,1650,0,2200
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,40000,0,1650,0,2200
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,5000,675,975,625,1575
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,50000,0,1650,0,2200
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,60000,0,1650,0,2200
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,MINI,80000,0,1650,0,2200
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,0,600,1150,300,2100
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,10000,400,1350,125,2275
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,100000,0,1750,0,2400
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,15000,400,1350,75,2325
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,20000,375,1375,25,2375
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,30000,0,1750,0,2400
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,40000,0,1750,0,2400
